City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Gouyave,GD,79.57,scattered clouds,12.1646,-61.7296,Rumboat Retreat
428,Benguela,AO,71.42,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
431,Alegrete,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
432,Bengkulu,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
433,Kapit,MY,73.62,scattered clouds,1.55,110.3333,Hilton Kuching
434,Padampur,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
435,Bonoua,CI,77.11,light rain,9.2667,-3.0,Hôtel lababa
439,Puerto Carreno,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
441,Caucaia,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
443,Tanhacu,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
447,Meulaboh,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
449,Salinopolis,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
450,Porto Belo,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
456,Pouembout,NC,80.11,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
464,Poya,NC,80.11,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
466,Nabire,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
467,Dire Dawa,ET,83.07,scattered clouds,11.7361,41.0853,degu Shiferaw
468,Dingle,AU,68.02,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
473,Upata,VE,86.79,overcast clouds,8.0086,-62.3989,Posada Villa Nela
474,Pitimbu,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
475,Prachuap Khiri Khan,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
478,Bubaque,GW,76.55,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
481,Amuntai,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
482,San Juan De Colon,VE,86.79,overcast clouds,8.0086,-62.3989,Posada Villa Nela
483,Santa Vitoria Do Palmar,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
488,Gilgit,PK,84.36,clear sky,29.5577,70.3762,LADLA CHOUDHARY HOUSE
493,Miri,MY,73.62,scattered clouds,1.55,110.3333,Hilton Kuching
506,Korhogo,CI,77.11,light rain,9.2667,-3.0,Hôtel lababa
507,Palabuhanratu,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
510,Hambantota,LK,78.89,broken clouds,7.4167,81.8167,VS Villa
513,Jiwani,PK,84.36,clear sky,29.5577,70.3762,LADLA CHOUDHARY HOUSE
514,Bambui,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
517,Kupang,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
522,Lahat,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
523,Kijang,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
525,Piacabucu,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
526,Corumba,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
527,Igbo Ora,NG,88.75,scattered clouds,8.8833,11.3667,Debright Motel
529,Palapye,BW,77.09,overcast clouds,-21.4833,27.4833,Semotswane Baraka Lodge
533,Tabou,CI,77.11,light rain,9.2667,-3.0,Hôtel lababa
534,Malwan,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
535,Tabiauea,KI,81.25,light rain,3.0707,172.7902,Isles Sunset Lodge
536,Cravo Norte,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
538,Ormara,PK,84.36,clear sky,29.5577,70.3762,LADLA CHOUDHARY HOUSE
543,Robertsganj,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
544,Sao Geraldo Do Araguaia,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
545,Poum,NC,80.11,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
548,Doka,SD,87.04,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
549,Uaua,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
551,Fayaoue,NC,80.11,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
556,Sola,VU,82.54,overcast clouds,-19.55,169.2667,Tanna Lodge
559,Ilhabela,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
562,Formoso Do Araguaia,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
569,Paradwip,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
571,Najran,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
573,Chiang Khong,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
575,Takoradi,GH,81.18,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
576,Camacupa,AO,71.42,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
