City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Catalina,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
194,Mastic Beach,US,57.79,-152.4072,38.71,75,100,6.91,light snow
195,Waitara,NZ,-46.6,168.3333,56.52,65,91,27.38,overcast clouds
196,Coihaique,CL,-53.15,-70.9167,42.91,75,0,5.75,clear sky
197,Coxim,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
198,Mega,ET,11.7361,41.0853,83.07,36,43,11.72,scattered clouds
199,Grand-Santi,GF,4.9333,-52.3333,77.09,1,75,10.36,moderate rain
200,San Cristobal,VE,7.7669,-72.225,78.98,54,73,4.9,broken clouds
201,Marsabit,KE,2.3284,37.9899,71.26,52,98,11.77,overcast clouds
202,Mayo,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
203,Warragul,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
204,Fare,NZ,-46.1927,168.8643,51.82,89,99,10.65,overcast clouds
205,Cangzhou,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
206,Attawapiskat,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
207,Wonthaggi,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
208,Mar Del Plata,AR,-54.8,-68.3,38.86,70,20,12.66,few clouds
209,Barcelos,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
210,General Roca,AR,-54.8,-68.3,38.86,70,20,12.66,few clouds
211,Plock,PL,51.9864,22.7825,52.65,71,93,21.27,light rain
212,Chokwe,MZ,-23.865,35.3833,75.43,88,61,6.44,light rain
213,Jos,NG,8.8833,11.3667,88.75,33,40,5.53,scattered clouds
214,Tromso,NO,70.8578,29.0864,32.0,78,70,22.79,broken clouds
215,Puerto Ayora,VE,7.7669,-72.225,78.98,54,73,4.9,broken clouds
216,Porto Walter,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
217,Adelaide,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
218,Obihiro,JP,35.7333,140.8333,55.29,57,20,7.63,few clouds
219,Yaan,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
220,Diego De Almagro,CL,-53.15,-70.9167,42.91,75,0,5.75,clear sky
221,Hualmay,PE,-13.7,-76.2167,69.85,78,0,26.46,clear sky
222,Caravelas,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
223,Lannion,FR,48.75,-3.4167,48.74,78,0,8.05,clear sky
224,Athabasca,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
225,Chuy,UY,-33.6971,-53.4616,65.21,84,100,6.85,overcast clouds
226,Peace River,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
227,Saint-Joseph,RE,-21.3667,55.6167,72.21,84,28,13.56,scattered clouds
228,Clyde River,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
229,Kamina,CD,-0.2167,20.8667,72.57,82,53,3.47,broken clouds
230,Chingola,ZM,-12.529,27.8838,62.94,97,100,1.43,light rain
231,Natal,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
232,Iroquois,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
233,Hobyo,ES,43.2686,-7.5406,52.14,81,100,10.42,overcast clouds
234,Thunder Bay,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
235,Bentiu,SD,13.0167,31.8667,87.04,22,19,7.81,few clouds
236,Nemuro,JP,35.7333,140.8333,55.29,57,20,7.63,few clouds
237,Acarau,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
238,Recke,DE,52.3833,7.7167,44.91,78,100,25.41,overcast clouds
239,Ndele,CF,8.4109,20.6473,77.31,67,100,4.59,overcast clouds
240,Ouadda,CF,8.4109,20.6473,77.31,67,100,4.59,overcast clouds
241,Brawley,US,57.79,-152.4072,38.71,75,100,6.91,light snow
242,Huron,US,57.79,-152.4072,38.71,75,100,6.91,light snow
243,Misratah,LY,32.3754,15.0925,60.01,72,0,18.3,clear sky
244,Waipawa,NZ,-46.6,168.3333,56.52,65,91,27.38,overcast clouds
245,Cidreira,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
246,Laguna,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
247,Sao Lourenco Da Mata,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
248,Te Anau,NZ,-46.6,168.3333,56.52,65,91,27.38,overcast clouds
249,Cerrito,US,40.6334,-74.2663,52.86,95,100,20.71,mist
250,Hamilton,US,39.1834,-84.5333,52.43,53,100,14.97,overcast clouds
251,Kekri,IN,10.5669,72.642,83.07,73,55,6.67,broken clouds
252,Dunedin,NZ,-46.6,168.3333,56.52,65,91,27.38,overcast clouds
253,Gemena,CD,-0.2167,20.8667,72.57,82,53,3.47,broken clouds
254,Bay Saint Louis,US,57.79,-152.4072,38.71,75,100,6.91,light snow
255,Kulevcha,UA,46.0303,29.9361,47.19,89,100,4.99,overcast clouds
256,Vila Velha,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
257,Pietermaritzburg,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
258,Puerto Leguizamo,CO,10.9878,-74.9547,82.49,80,99,15.68,overcast clouds
259,Ahuimanu,US,57.79,-152.4072,38.71,75,100,6.91,light snow
260,Saint George,US,39.1834,-84.5333,52.43,53,100,14.97,overcast clouds
261,Fortuna,US,57.79,-152.4072,38.71,75,100,6.91,light snow
262,Airai,TL,-8.9266,125.4092,59.25,81,100,2.26,overcast clouds
263,Nguiu,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
264,Marcona,PE,-13.7,-76.2167,69.85,78,0,26.46,clear sky
265,Lagoa,PT,38.5167,-28.7,60.73,82,100,8.39,overcast clouds
266,Kuching,MY,1.55,110.3333,73.62,100,40,3.0,scattered clouds
267,Mahon,ES,28.6585,-17.9182,58.75,76,40,11.5,scattered clouds
268,Fort-Shevchenko,KZ,47.8043,67.7144,39.79,72,8,9.37,clear sky
269,Mangrol,IN,10.5669,72.642,83.07,73,55,6.67,broken clouds
270,Macaboboni,PH,12.1791,125.5072,77.47,87,100,7.83,moderate rain
271,Linxia,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
272,Nisia Floresta,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
273,Ahipara,NZ,-46.6,168.3333,56.52,65,91,27.38,overcast clouds
274,Port Hardy,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
275,Dolores,AR,-54.8,-68.3,38.86,70,20,12.66,few clouds
276,Gorontalo,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
277,Tual,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
278,Bonfim,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
279,Thinadhoo,MV,-0.6,73.0833,82.08,63,17,3.8,few clouds
280,Russell,NZ,-46.6,168.3333,56.52,65,91,27.38,overcast clouds
281,The Hammocks,US,57.79,-152.4072,38.71,75,100,6.91,light snow
282,Gusau,NG,8.8833,11.3667,88.75,33,40,5.53,scattered clouds
283,Sur,OM,22.5667,59.5289,85.57,40,0,9.8,clear sky
284,Witbank,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
285,Pimenta Bueno,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
286,Beni,CD,-0.2167,20.8667,72.57,82,53,3.47,broken clouds
287,Oulu,FI,65.0124,25.4682,26.71,85,0,8.05,clear sky
288,Bandar-E Torkaman,AF,30.15,62.6,80.33,12,0,6.93,clear sky
289,Altay,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
290,Georgetown,US,42.097,-79.2353,44.94,74,100,5.75,light rain
291,Norden,DE,52.3833,7.7167,44.91,78,100,25.41,overcast clouds
292,Shache,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
293,Yulara,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
294,Alofi,NU,-19.0595,-169.9187,84.09,74,75,14.97,broken clouds
295,Amulung,PH,12.1791,125.5072,77.47,87,100,7.83,moderate rain
296,Issoire,FR,48.75,-3.4167,48.74,78,0,8.05,clear sky
297,The Valley,AI,18.217,-63.0578,80.46,83,20,12.66,few clouds
298,Llangefni,GB,58.2093,-6.3865,39.16,71,100,17.27,overcast clouds
